S.No.,Property type,No_of_Beds,Bathroom
953,house,5.00,5.50
954,house,3.00,2.00
955,house,4.00,2.00
956,house,4.00,2.50
957,house,4.00,3.00
958,house,3.00,2.50
959,house,3.00,2.00
960,house,3.00,2.00
961,house,3.00,2.50
962,house,4.00,3.50
963,house,3.00,2.50
964,house,3.00,2.00
965,house,4.00,2.00
966,house,3.00,2.00
967,house,3.00,2.00
968,house,3.00,2.00
969,house,6.00,10.00
970,house,3.00,2.50
971,house,3.00,2.00
972,house,6.00,7.50
973,house,3.00,2.00
974,house,5.00,6.00
975,house,4.00,3.50
976,house,3.00,2.50
977,house,5.00,5.50
978,house,3.00,1.00
979,house,3.00,1.00
980,house,5.00,3.50
981,house,4.00,2.00
982,house,3.00,1.00
983,house,4.00,4.00
984,house,6.00,3.50
985,house,5.00,5.50
986,house,4.00,4.00
987,house,6.00,5.00
988,house,4.00,3.00
989,house,3.00,2.50
990,house,4.00,3.00
991,house,4.00,2.50
992,house,4.00,3.00
993,house,4.00,2.50
994,house,7.00,4.00
995,house,5.00,3.50
996,house,5.00,3.50
997,house,5.00,3.00
998,house,4.00,3.50
999,house,4.00,3.50
1000,house,2.00,2.50
1001,house,4.00,3.50
1002,house,3.00,2.00
1003,house,3.00,2.00
1004,house,3.00,2.00
1005,house,4.00,3.50
1006,house,4.00,2.00
1007,house,4.00,3.50
1008,house,3.00,2.00
1009,house,5.00,4.00
1010,house,4.00,3.50
1011,house,5.00,5.50
1012,house,3.00,1.00
1013,house,3.00,2.00
1014,house,4.00,2.50
1015,house,5.00,3.50
1016,house,3.00,1.00
1017,house,5.00,4.00
1018,house,3.00,2.50
1019,house,5.00,3.00
1020,house,3.00,2.00
1021,house,3.00,1.50
1022,house,5.00,3.00
1023,house,5.00,3.00
1024,house,5.00,5.50
1025,house,5.00,7.00
1026,house,5.00,4.00
1027,house,5.00,4.50
1028,house,3.00,2.00
1029,house,5.00,4.50
1030,house,5.00,3.00
1031,house,5.00,3.50
1032,house,3.00,2.00
1033,house,3.00,2.00
1034,house,3.00,2.00
1035,house,4.00,3.00
1036,house,3.00,2.00
1037,house,3.00,2.50
1038,house,3.00,1.00
1039,house,4.00,2.00
1040,house,4.00,3.50
1041,house,3.00,2.00
1042,house,6.00,5.50
1043,house,4.00,3.00
1044,house,3.00,2.00
1045,house,3.00,2.00
1046,house,3.00,1.00
1047,house,4.00,3.00
1048,house,3.00,2.00
1049,house,3.00,2.00
1050,house,5.00,5.00
1051,house,6.00,7.00
1052,house,4.00,3.00
1053,house,2.00,2.00
1054,house,5.00,3.00
1055,house,5.00,4.50
1056,house,4.00,2.00
1057,house,3.00,3.00
1058,house,4.00,3.00
1059,house,5.00,5.00
1060,house,4.00,2.50
1061,house,5.00,4.00
1062,house,4.00,2.50
1063,house,3.00,2.50
1064,house,3.00,2.00
1065,house,5.00,3.50
1066,house,5.00,4.50
1067,house,5.00,5.50
1068,house,3.00,2.00
1069,house,3.00,3.00
1070,house,3.00,2.50
1071,house,5.00,5.00
1072,house,2.00,2.00
1073,house,4.00,3.50
1074,house,3.00,2.50
1075,house,3.00,2.50
1076,house,3.00,2.00
1077,house,4.00,3.50
1078,house,3.00,3.00
1079,house,5.00,7.00
1080,house,3.00,2.00
1081,house,4.00,3.50
1082,house,3.00,2.00
1083,house,3.00,2.00
1084,house,3.00,1.00
1085,house,4.00,3.00
1086,house,3.00,2.00
1087,house,3.00,1.00
1088,house,5.00,3.50
1089,house,3.00,2.00
1090,house,5.00,3.50
1091,house,3.00,2.00
1092,house,3.00,2.00
1093,house,3.00,2.00
1094,house,4.00,3.50
1095,house,4.00,2.00
1096,house,3.00,2.50
1097,house,5.00,4.00
1098,house,4.00,3.50
1099,house,3.00,3.00
1100,house,4.00,5.00
