S.No.,Price,Price (in Rs.),No_of_Beds,Address,City,State,State_Code
286,"$299,900.00",25059644.00,1.00,758 N Larrabee St #226, Chicago,IL,60654
287,"$310,000.00",25903600.00,2.00,5740 N Ridge Ave Unit 2S, Chicago,IL,60660
288,"$499,000.00",41696440.00,2.00,3753 N Wilton Ave #4, Chicago,IL,60613
289,"$749,900.00",62661644.00,3.00,1315 W Erie St #2, Chicago,IL,60642
290,"$650,000.00",54314000.00,3.00,1801 W Diversey Pkwy #8, Chicago,IL,60614
291,"$349,000.00",29162440.00,2.00,4903 N Winthrop Ave Unit GN, Chicago,IL,60640
292,"$684,900.00",57230244.00,4.00,4906 N Kenmore Ave Unit 1N, Chicago,IL,60640
293,"$634,900.00",53052244.00,3.00,4906 N Kenmore Ave Unit 1S, Chicago,IL,60640
294,"$1,250.00",104450.00,2.00,9603 S Avenue L Ave #1, Chicago,IL,60617
295,"$399,900.00",33415644.00,2.00,215 N Aberdeen St Unit B-401, Chicago,IL,60607
296,"$949,900.00",79373644.00,3.00,3111 N Lincoln Ave, Chicago,IL,60657
297,"$170,000.00",14205200.00,0.00,3600 N Lake Shore Dr #1023, Chicago,IL,60613
298,"$184,900.00",15450244.00,2.00,4005 S Calumet Ave #1, Chicago,IL,60653
299,"$250,000.00",20890000.00,1.00,1440 S Michigan Ave #420, Chicago,IL,60605
300,"$474,500.00",39649220.00,3.00,2629 W Chicago Ave #3, Chicago,IL,60622
301,"$372,000.00",31084320.00,1.00,1212 N Wells St #402, Chicago,IL,60610
